Name,X,Y,zone,initialK
kpkpx_tc45,1877516.722,1014426.934,15,1.171662
kpkpx_tc46,1904516.722,1014426.934,15,3.091058
kpkpx_tc47,1931516.722,1014426.934,15,2.356954
kpkpx_tc48,1958516.722,1014426.934,15,2.639458
kpkpx_tc49,1985516.722,1014426.934,15,2.972526
kpkpx_tc50,2012516.722,1014426.934,15,3.054547
kpkpx_tc52,1796516.722,987426.934,15,2.681889
kpkpx_tc53,1823516.722,987426.934,15,2.289494
kpkpx_tc54,1871390.182,991219.554,15,2.541479
kpkpx_tc55,1904516.722,987426.934,15,1.864779
kpkpx_tc56,1931516.722,987426.934,15,1.800466
kpkpx_tc57,1958516.722,987426.934,15,2.256701
kpkpx_tc58,1985516.722,987426.934,15,2.859839
kpkpx_tc59,2012516.722,987426.934,15,2.655186
kpkpx_ww2,1769516.722,1203426.934,18,5.156319
kpkpx_ww3,1796516.722,1203426.934,18,4.857754
kpkpx_ww4,1823516.722,1203426.934,18,4.489326
kpkpx_ww5,1850516.722,1203426.934,18,4.625619
kpkpx_ww6,1877516.722,1203426.934,18,4.787014
kpkpx_ww7,1904516.722,1203426.934,18,4.801219
kpkpx_ww8,1931516.722,1203426.934,18,5.423488
kpkpx_ww9,1958516.722,1203426.934,18,6.711601
kpkpx_ww10,1985516.722,1203426.934,18,7.33281
kpkpx_ww11,2012516.722,1203426.934,18,7.590687
kpkpx_ww12,1742516.722,1176426.934,18,4.078284
kpkpx_ww13,1769516.722,1176426.934,18,5.39525
kpkpx_ww14,1796516.722,1176426.934,18,5.536792
kpkpx_ww15,1823516.722,1176426.934,18,4.776819
kpkpx_ww16,1850516.722,1176426.934,18,4.862234
kpkpx_ww17,1877516.722,1176426.934,18,7.870896
kpkpx_ww18,1904516.722,1176426.934,18,10.26547
kpkpx_ww19,1931516.722,1176426.934,18,7.553926
kpkpx_ww20,1958516.722,1176426.934,18,8.984439
kpkpx_ww21,1985516.722,1176426.934,18,6.379142
kpkpx_ww22,2012516.722,1176426.934,18,4.887031
kpkpx_ww23,1742516.722,1149426.934,18,4.739313
kpkpx_ww24,1769516.722,1149426.934,18,5.940162
kpkpx_ww25,1796516.722,1149426.934,18,5.071724
kpkpx_ww26,1823516.722,1149426.934,18,5.754612
kpkpx_ww27,1850516.722,1149426.934,18,5.469999
kpkpx_ww28,1877516.722,1149426.934,18,7.111252
kpkpx_ww29,1904516.722,1149426.934,18,7.046523
kpkpx_ww30,1931516.722,1149426.934,18,8.838566
kpkpx_ww31,1958516.722,1149426.934,18,4.507009
kpkpx_ww32,1985516.722,1149426.934,18,5.626756
kpkpx_ww33,2012516.722,1149426.934,18,5.216814
kpkpx_ww34,1742516.722,1122426.934,18,4.785591
kpkpx_ww35,1769516.722,1122426.934,18,3.819201
kpkpx_ww36,1796516.722,1122426.934,18,4.226632
kpkpx_ww37,1823516.722,1122426.934,18,5.013672
kpkpx_ww38,1850516.722,1122426.934,18,5.182578
kpkpx_ww39,1877516.722,1122426.934,18,5.428607
kpkpx_ww40,1904516.722,1122718.674,18,8.345458
kpkpx_ww41,1931516.722,1122426.934,18,4.44596
kpkpx_ww42,1958516.722,1122426.934,18,4.530238
kpkpx_ww43,1985516.722,1122426.934,18,5.993596
kpkpx_ww44,2012516.722,1122426.934,18,4.760026
kpkpx_ww45,1742516.722,1095426.934,18,4.738636
kpkpx_ww46,1769516.722,1095426.934,18,5.351152
kpkpx_ww47,1796516.722,1095426.934,18,5.596506
kpkpx_ww48,1823516.722,1095426.934,18,6.896959
kpkpx_ww49,1850516.722,1095426.934,18,4.46134
kpkpx_ww50,1877516.722,1095426.934,18,1.538064
kpkpx_ww51,1904516.722,1095426.934,18,0.28
kpkpx_ww52,1931516.722,1095426.934,18,5.073984
kpkpx_ww53,1958516.722,1095426.934,18,4.382005
kpkpx_ww54,1985516.722,1095426.934,18,6.862477
kpkpx_ww55,2012516.722,1095426.934,18,7.558665
kpkpx_ww56,1742516.722,1068426.934,18,5.218678
kpkpx_ww57,1769516.722,1068426.934,18,98.33
kpkpx_ww58,1796516.722,1068426.934,18,17.66272
kpkpx_ww59,1823516.722,1068426.934,18,6.526854
kpkpx_ww60,1850516.722,1068426.934,18,9.540642
kpkpx_ww61,1877516.722,1068426.934,18,0.9657997
kpkpx_ww62,1904516.722,1068426.934,18,1.268157
kpkpx_ww63,1931516.722,1068426.934,18,12.76095
kpkpx_ww64,1958516.722,1068426.934,18,4.892086
kpkpx_ww65,1985516.722,1068426.934,18,8.669242
kpkpx_ww66,2012516.722,1068426.934,18,6.132958
kpkpx_ww67,1742516.722,1041426.934,18,4.857874
kpkpx_ww68,1769516.722,1041426.934,18,8.780771
kpkpx_ww69,1796516.722,1041426.934,18,8.077599
kpkpx_ww70,1823516.722,1041426.934,18,4.868733
kpkpx_ww71,1850516.722,1041426.934,18,6.109482
kpkpx_ww72,1877516.722,1041426.934,18,5.783165
kpkpx_ww73,1904516.722,1041426.934,18,6.970482
kpkpx_ww74,1931516.722,1041426.934,18,8.96832
kpkpx_ww75,1958516.722,1041426.934,18,8.511408
kpkpx_ww76,1985516.722,1041426.934,18,6.074728
kpkpx_ww77,2012516.722,1041426.934,18,5.00815
kpkpx_ww78,1742516.722,1014426.934,18,4.973846
kpkpx_ww79,1769516.722,1014426.934,18,5.228193
kpkpx_ww80,1796516.722,1014426.934,18,4.936815
kpkpx_ww81,1823516.722,1014426.934,18,4.845709
kpkpx_ww82,1850516.722,1014426.934,18,4.610484
kpkpx_ww83,1877516.722,1014426.934,18,6.937331
kpkpx_ww84,1904516.722,1014426.934,18,6.75762
kpkpx_ww85,1931516.722,1014426.934,18,5.972127
kpkpx_ww86,1958516.722,1014426.934,18,4.736763
kpkpx_ww87,1985516.722,1014426.934,18,4.891044
kpkpx_ww88,2012516.722,1014426.934,18,5.751304
kpkpx_ww89,1742516.722,987426.934,18,4.863335
kpkpx_ww90,1769516.722,987426.934,18,5.071341
kpkpx_ww91,1796516.722,987426.934,18,4.892972
kpkpx_ww92,1823516.722,987426.934,18,4.260105
kpkpx_ww93,1850516.722,987426.934,18,5.172857
