Name,X,Y,Type,Error
5390885938_f,601427.5135,328779.0401,head,25.0
9089221101_f,571006.3595,328480.0514,head,25.0
0089082301_f,589622.9401,328677.5453,head,25.0
2088482801_f,616490.6837,329070.6786,head,25.0
2089250001_f,567205.9002,328544.9173,head,25.0
3089214601_f,571567.5129,328607.7202,head,25.0
4089212801_f,571971.9823,328641.6778,head,25.0
4089235201_f,568734.3489,328617.4949,head,25.0
5088483101_f,616421.9119,329162.2587,head,25.0
6089285602_f,561898.9598,328633.2306,head,25.0
8089435201_f,541753.7776,328599.8307,head,25.0
9089053801_f,593329.8114,328994.5437,head,25.0
2089263801_f,565000.4257,328838.3256,head,25.0
5540891111_f,585841.3809,329071.4374,head,25.0
4089254501_f,566191.5895,328908.0837,head,25.0
7088523401_f,610953.3701,329456.4004,head,25.0
7088593401_f,601510.7372,329335.4033,head,25.0
8089132801_f,582760.1046,329165.4169,head,25.0
6088485901_f,615783.1618,329801.0954,head,25.0
6088542101_f,608544.0972,329701.9583,head,25.0
6089180901_f,576440.5394,329356.3249,head,25.0
7089443001_f,540897.6073,329183.2429,head,25.0
8089294401_f,560815.65,329305.2683,head,25.0
6090885938_f,601416.3331,329704.4979,head,25.0
9089115901_f,584757.7710000001,329523.6996,head,25.0
2089342201_f,554565.3036,329393.7178,head,25.0
3088554901_f,606562.9477,329892.1579,head,25.0
5089251201_f,566929.0028,329561.0212,head,25.0
6089340601_f,554924.3531,329518.9641,head,25.0
7089235801_f,568592.1125,329634.5086,head,25.0
8088513401_f,612293.4422,330122.5908,head,25.0
9089241601_f,568187.0276,329693.2972,head,25.0
1089084101_f,589205.2388,329938.1578,head,25.0
6210891442_f,581089.9822,329859.6308,head,25.0
2089140001_f,582033.8602,329899.1134,head,25.0
3089144201_f,581089.4232,329921.3309,head,25.0
3089251001_f,566972.2473,329808.1166,head,25.0
5088501001_f,614178.7788,330364.6983,head,25.0
5088575901_f,603815.6896,330227.6109,head,25.0
5089340401_f,554967.8686,329796.8296,head,25.0
6089005301_f,599724.0414,330208.7459,head,25.0
6089155101_f,579537.5148,329999.9888,head,25.0
6089340001_f,555057.6311,329828.1448,head,25.0
7089082501_f,589563.0046,330126.9584,head,25.0
7089162601_f,578750.4708,330023.9306,head,25.0
8088530501_f,610241.5413,330557.5747,head,25.0
1089252901_f,566543.4301,330051.9406,head,25.0
2088052401_f,612534.7965,330557.8706,head,25.0
2089195901_f,573961.167,330138.1227,head,25.0
3088493301_f,615007.0389,330623.1822,head,25.0
3088530501_f,610241.5413,330557.5747,head,25.0
6088481301_f,616804.0221,330741.3626,head,25.0
9089273101_f,563799.4219,330280.3315,head,25.0
3089143201_f,581308.6065,330540.3431,head,25.0
4089180701_f,576475.6778,330528.9347,head,25.0
4089284101_f,562225.0024,330424.5275,head,25.0
5089314101_f,558178.9075,330431.2332,head,25.0
9089022901_f,597557.8476,330893.0562,head,25.0
2089180901_f,576428.6544,330775.3479,head,25.0
3089302101_f,559975.6162,330688.4452,head,25.0
7089013401_f,598791.1932,331154.2046,head,25.0
8089214201_f,571639.7245,330922.0301,head,25.0
9089140801_f,581843.5404,331038.8536,head,25.0
0089102501_f,586855.3893,331117.6276,head,25.0
0089133001_f,582697.3429,331077.6056,head,25.0
2088560801_f,606116.4927,331398.2643,head,25.0
3088545701_f,607711.8672,331449.7374,head,25.0
4088480601_f,617060.8728,331639.8651,head,25.0
6088500602_f,614251.0005,331630.7628,head,25.0
0088480601_f,616946.2698,331792.4933,head,25.0
6089165501_f,578085.5406,331529.85,head,25.0
7088501701_f,614044.8437,331905.5719,head,25.0
9089435701_f,541632.339,331406.6595,head,25.0
0088540701_f,608828.7394,331988.9183,head,25.0
0088565801_f,604985.693,331939.2446,head,25.0
0089112201_f,585568.2591,331721.9938,head,25.0
4088582101_f,603118.8411,332039.32,head,25.0
7240890904_f,588668.3864,331876.3228,head,25.0
5088541401_f,608669.3911,332141.0864,head,25.0
5089085701_f,588825.3864,331908.7795,head,25.0
5089434801_f,541834.0075,331592.3998,head,25.0
7089290701_f,561632.3929,331747.3591,head,25.0
9089011101_f,599296.5291,332147.432,head,25.0
